Location,1.10 Street Address,1.11 City,1.12 Zip,1.13 Zip +4,1.18 Public Phone Number - Administration,1.19 Reference Phone Number,1.20 TDD for Deaf,"1.22 Library Public Email address or ""contact me"" URL",1.23 Library's Web Address,1.6 Director First Name,1.8 Director Last Name,1.9 Director Title,Library Director's Email Address Shared with Public
CORONADO PUBLIC LIBRARY,640 ORANGE AVE.,CORONADO,92118,2232,(619) 522-2475,(619) 522-2484,N/A,https://www.coronado.ca.us/cms/One.aspx?portalId=746090&pageId=16947890https://ca-coronadolibrary.civicplus.com/Directory.aspx?DID=6,http://www.coronado.ca.us/library,Shaun,Briley,Library Director,
COVINA PUBLIC LIBRARY,234 N. SECOND AVE.,COVINA,91723,2198,(626) 384-5297,(626) 384-5303,-1,covinalibrary@covinaca.gov,http://www.covinaca.gov/library,Lisa,Evans,Director of Parks & Recreation and Library Services,
CROWELL PUBLIC LIBRARY,1890 HUNTINGTON DR.,SAN MARINO,91108,2542,(626) 300-0779,(626) 300-0777,-1,crowellpl@CityofSanMarino.org,http://crowellpubliclibrary.org,Linda,Vera,Library Manager,
DALY CITY PUBLIC LIBRARY,111 LAKE MERCED BOULEVARD,DALY CITY,94015,1048,(650) 991-8023,(650) 991-8023,-1,dcplref@plsinfo.org,https://www.dalycity.org/library,Chela,Anderson,Library Services Manager,
DEL NORTE COUNTY LIBRARY DISTRICT,190 PRICE MALL,CRESCENT CITY,95531,4395,(707) 464-9793,(707) 464-9794,-1,info@delnortecountylibrary.org,http://www.delnortecountylibrary.org,Phyllis,Goodeill,Library Director,
DIXON PUBLIC LIBRARY DISTRICT,230 N. FIRST ST.,DIXON,95620,3028,7076785447,(707) 693-2746,-1,reference@dixonlibrary.com,http://www.dixonlibrary.com,Aida,Buelna,Interim Library Director,
DOWNEY CITY LIBRARY,11121 BROOKSHIRE AVE.,DOWNEY,90241,3860,(562) 904-7365,(562) 904-7366,N/A,questions@downeyca.org,http://www.downeylibrary.org,Benjamin,Dickow,Library Director,
EL CENTRO PUBLIC LIBRARY,1140 N. IMPERIAL AVE.,EL CENTRO,92243,2973,(760) 337-4565,(760) 337-4565,N/A,eclib@cityofelcentro.org,http://www.cityofelcentro.org/library/,Marcela,Piedra,City Manager (Dir. Vacant),
EL DORADO COUNTY LIBRARY,345 FAIR LANE,PLACERVILLE,95667,5699,(530) 621-5540,(530) 621-5545,-1,lib-pl@eldoradolibrary.org,http://www.eldoradolibrary.org/,Carolyn,Brooks,Director,
EL SEGUNDO PUBLIC LIBRARY,111 W. MARIPOSA AVE.,EL SEGUNDO,90245,2299,(310) 524-2722,(310) 524-2728,(310) 322-4889,refdesk@elsegundo.org,https://elsegundolibrary.org,Mark,Herbert,Library Manager,
ESCONDIDO PUBLIC LIBRARY,239 S. KALMIA ST.,ESCONDIDO,92025,4224,(760) 839-4601,(760) 839-4839,N/A,library@escondidolibrary.org,http://www.escondidolibrary.org,Dara,Bradds,Director,
FOLSOM PUBLIC LIBRARY,411 STAFFORD ST,FOLSOM,95630,2643,(916) 461-6137,(916) 461-6131,-1,libcirc@folsom.ca.us,https://www.library.folsom.ca.us/,Thomas,Gruneisen,Library Director,
FRESNO COUNTY PUBLIC LIBRARY,2420 MARIPOSA ST.,FRESNO,93721,2285,(559) 600-6237,(559) 600-7323,N/A,countylibrarian@fresnolibrary.org,http://www.fresnolibrary.org,Raman,Bath,County Librarian,
FULLERTON PUBLIC LIBRARY,353 W. COMMONWEALTH AVE.,FULLERTON,92832,1796,(714) 738-6380,(714) 738-6326,N/A,info@fullertonlibrary.org,www.fullertonlibrary.org,Judith (Judy),Booth,Library Director,
"GLENDALE LIBRARY, ARTS & CULTURE",222 E. HARVARD ST.,GLENDALE,91205,1075,(818) 548-2030,(818) 548-2021,(818) 543-0368,LibraryInfo@glendaleca.gov,http://glendalelac.org,Gary,Shaffer,"Director of Library, Arts & Culture",
GLENDORA LIBRARY & CULTURAL CENTER,140 SOUTH GLENDORA AVE.,GLENDORA,91741,3416,(626) 852-4891,(626) 852-4891,-1,library@glendoralibrary.org,http://www.glendoralibrary.org,Janet,Stone,Director,
GOLETA VALLEY LIBRARY,500 N. FAIRVIEW AVE.,GOLETA,93117,1797,(805) 964-7878,(805) 964-7878,,goletavalleylibrary@cityofgoleta.org,https://www.cityofgoleta.org/city-hall/goleta-valley-library,B. Allison,Gray,Library Director,
HARRISON MEMORIAL LIBRARY,OCEAN & LINCOLN AVE.,CARMEL,93921,0800,(831) 624-1366,(831) 624-7323,-1,hml.reference@gmail.com,http://ci.carmel.ca.us/library,Ashlee,Wright,Library and Community Activities Director,
HAYWARD PUBLIC LIBRARY,888 C STREET,HAYWARD,94541,5101,(510) 881-7954,(510) 293-8685,(510) 537-7593,library@hayward-ca.gov,hayward-ca.gov/public-library,Jayanti,Addleman,Library Director,
HEMET PUBLIC LIBRARY,300 E. LATHAM AVE,HEMET,92543,4222,(951) 765-2440,(951) 765-2440,-1,kcaines@hemetca.gov,www.hemetca.gov/library,Katherine,Caines,Senior Librarian,
HUMBOLDT COUNTY LIBRARY,1313 THIRD ST.,EUREKA,95501,0553,(707) 269-1918,(707) 269-1905,-1,hcl@co.humboldt.ca.us,http://www.co.humboldt.ca.us/library/,Christopher,Cooper,Director of Library Services,
HUNTINGTON BEACH PUBLIC LIBRARY,7111 TALBERT AVE,HUNTINGTON BEACH,92648,1232,(714) 960-8836,(714) 842-4481,N/A,library@hbpl.org,http://www.hbpl.org,Jessica,Framson,Library Services Manager,
IMPERIAL COUNTY LIBRARY,1125 W. MAIN STREET,EL CENTRO,92243,9516,(442) 265-7100,-1,-1,imperialcountylibrary@co.imperial.ca.us,http://www.library.imperialcounty.org,Mary ,Guerrero,County Librarian,
IMPERIAL PUBLIC LIBRARY,200 W. 9TH ST.,IMPERIAL,92251,1213,(760) 355-1332,(760) 355-1332,-1,library@cityofimperial.org,http://www.cityofimperial.org/public-library,Ember,Haller,Community Services Director,
INGLEWOOD PUBLIC LIBRARY,101 W. MANCHESTER BLVD.,INGLEWOOD,90301,1771,(310) 412-5397,(310) 412-4280,,publiclibrary@cityofinglewood.org,http://library.cityofinglewood.org,Kerri,Arroyo,Library Manager,
INYO COUNTY FREE LIBRARY,168 N. EDWARDS,INDEPENDENCE,93526,0610,(760) 878-0260,(760) 878-0260,N/A,inyocolib@inyocounty.us,https://www.inyocounty.us/services/inyo-county-free-library,Nancy,Masters,Director,
IRWINDALE PUBLIC LIBRARY,5050 N. IRWINDALE AVE.,IRWINDALE,91706,2193,(626) 430-2229,(626) 430-2229,-1,librarystaff@irwindaleca.gov,https://www.irwindaleca.gov/121/Library,Shayna,Balli,City Librarian,
KERN COUNTY LIBRARY,701 TRUXTUN AVE.,BAKERSFIELD,93301,4816,(661) 868-0700,(661) 868-0701,N/A,info@kernlibrary.org,https://kernlibrary.org,Andie,Sullivan,Director of Libraries,
KINGS COUNTY LIBRARY,401 N. DOUTY ST.,HANFORD,93230,3908,(559) 852-4005,(559) 852-4003,-1,askus@kingscountylibrary.org,http://www.kingscountylibrary.org/,Natalie,Rencher,Library Director,
LA COUNTY LIBRARY,7400 E. IMPERIAL HIGHWAY,DOWNEY,90241,3375,(562) 940-8462,N/A,(562) 940-8477,lacountylibrary.org,http://www.lacountylibrary.org,Skye,Patrick,County Librarian,
LAKE COUNTY LIBRARY,1425 N. HIGH ST,LAKEPORT,95453,3800,(707) 263-8817,(707) 263-8817,-1,library@lakecountyca.gov,http://library.lakecountyca.gov,Christopher,Veach,County Librarian,
LARKSPUR PUBLIC LIBRARY,400 MAGNOLIA AVE,LARKSPUR,94939,2035,(415) 927-5005,(415) 927-5005,-1,library@cityoflarkspur.org,http://www.larkspurlibrary.org,Franklin,Escobedo,Community Services Director,
LASSEN LIBRARY DISTRICT,1618 MAIN ST.,SUSANVILLE,96130,4515,(530) 257-8113,(530) 251-8127,-1,lassenlibrary@citlink.net,http://www.lassenlibrary.org/,Heather,Blevins,Library Director,
LINCOLN PUBLIC LIBRARY,485 TWELVE BRIDGES DRIVE,LINCOLN,95648,8823,(916) 434-2410,(916) 434-2406,-1,library@lincolnca.gov,http://www.libraryatlincoln.org,Kathryn,Hunt,Director of Library Services,
LIVERMORE PUBLIC LIBRARY,1188 S. LIVERMORE AVE.,LIVERMORE,94550,4813,(925) 373-5500,(925) 373-5505,(925) 960-4104,lib@livermore.lib.ca.us,http://www.livermorelibrary.net,Anwan,Baker,Director,
LODI PUBLIC LIBRARY,201 W. LOCUST STREET,LODI,95240,2013,(209) 333-5554,(209) 333-5503,N/A,library@lodi.gov,library.lodi.gov,Akiliah,Manuel ,Library Director,
LOMPOC PUBLIC LIBRARY,501 E. NORTH AVE.,LOMPOC,93436,3404,(805) 875-8787,(805) 875-8778,-1,lompocpl@blackgold.org,http://www.cityoflompoc.com/library/,Sarah,Bleyl,Library Director,
LONG BEACH PUBLIC LIBRARY,200 W. BROADWAY,LONG BEACH,90802,4433,(562) 570-6291,(562) 570-7500,(562) 570-6762,lbpl_reference@lbpl.org,http://www.lbpl.org/,Cathy,De Leon,Director,
LOOMIS LIBRARY & COMMUNITY LEARNING CENTER,6050 LIBRARY DR.,LOOMIS,95650,,(916) 824-2905,(916) 824-2905,,collection@loomislibrary.org,https://loomislibrary.org/,Sarah,Comstock,Community Engagement Librarian,
LOS ANGELES PUBLIC LIBRARY,630 W. FIFTH ST.,LOS ANGELES,90071,2097,(213) 228-7515,(213) 228-7272,(800) 488-4327,libadmin@lapl.org,http://www.lapl.org,John,Szabo,City Librarian,
LOS GATOS LIBRARY,100 VILLA AVENUE,LOS GATOS,95030,6981,(408) 354-6891,(408) 354-6896,-1,library@losgatosca.gov,http://library.losgatosca.gov,Ryan,Baker,Library Director,
MADERA COUNTY LIBRARY,121 N. G ST.,MADERA,93637,3511,(559) 675-7871,(559) 675-7871,-1,madera@maderacountylibrary.org,www.maderalibrary.org,Krista,Riggs,Director,
MARIN COUNTY FREE LIBRARY,"3501 CIVIC CENTER DR, RM 414",SAN RAFAEL,94903,4189,(415) 473-3220,(415) 473-6053,N/A,library@marincounty.org,http://www.marinlibrary.org,Lana,Adlawan,Director of County Library Services,
MARIPOSA COUNTY LIBRARY,4978 10TH ST.,MARIPOSA,95338,0106,(209) 966-2140,(209) 966-2140,N/A,http://mariposalibrary.org/questions,http://www.mariposalibrary.org,Dallin,Kimble,Interim County Librarian,
MENDOCINO COUNTY LIBRARY,105 N. MAIN ST.,UKIAH,95482,3919,(707) 234-2873,(707) 463-4490,N/A,libtechservices@mendocinocounty.org,https://www.mendolibrary.org,Deborah,Fader Samson,"Director, Mendocino County Cultural Services Agency",
MENLO PARK PUBLIC LIBRARY,800 ALMA ST.,MENLO PARK,94025,3460,(650) 330-2500,(650) 330-2520,,mplref@menlopark.org,http://beta.menlopark.org/library,Sean,Reinhart,Director of Library and Community Services,
MERCED COUNTY LIBRARY,2100 O ST.,MERCED,95340,3637,(209) 385-7485,(209) 385-7484,(000) 000-0000,info@mercedcountylibrary.org,http://www.mercedcountylibrary.org,Amy,Taylor,County Librarian,
MILL VALLEY PUBLIC LIBRARY,375 THROCKMORTON AVE.,MILL VALLEY,94941,2698,(415) 389-4292,(415) 389-4292,-1,reference@cityofmillvalley.org,http://millvalleylibrary.org,Anji,Brenner,City Librarian,
MISSION VIEJO LIBRARY,100 CIVIC CENTER,MISSION VIEJO,92691,5518,(949) 830-7100,(949) 830-7100,N/A,libreference@cityofmissionviejo.org,http://www.cmvl.org,Genesis,Hansen,Director of Library & Cultural Services,
MODOC COUNTY LIBRARY,212 W. THIRD ST.,ALTURAS,96101,3913,(530) 233-6358,(530) 233-6358,-1,library@co.modoc.ca.us,http://modoccountylibrary.org,Kristen,Anderson,Library Director,
MONO COUNTY FREE LIBRARY,400 SIERRA PARK RD.,MAMMOTH LAKES,93546,1120,(760) 934-8670,(760) 934-4777,-1,mammothlakeslibrary@monocoe.org,http://www.monocolibraries.org,Christopher,Platt,County Library Director,
MONROVIA PUBLIC LIBRARY,321 S. MYRTLE AVE.,MONROVIA,91016,2848,(626) 256-8274,(626) 256-8259,N/A,monrovialibrary@ci.monrovia.ca.us,http://www.monroviapubliclibrary.org,Carey,Vance,Library Manager,
MONTEREY COUNTY FREE LIBRARIES,188 SEASIDE CIRCLE,MARINA,93933,2500,(831) 883-7573,(831) 899-2055,(831) 755-5000,611-Seaside-Ref@co.monterey.ca.us,www.eMCFL.org,Hillary,Theyer,Library Director,
MONTEREY PARK BRUGGEMEYER LIBRARY,318 S. RAMONA AVENUE,MONTEREY PARK,91754,3399,(626) 307-1269,(626) 307-1368,(626) 307-2540,library@montereypark.ca.gov,www.montereypark.ca.gov/Library,Diana,Garcia,City Librarian,
MONTEREY PUBLIC LIBRARY,625 PACIFIC ST.,MONTEREY,93940,2866,(831) 646-5669,(831) 646-3933,N/A,refdesk@monterey.org,https://www.monterey.org/library,Brian,Edwards,Library Director,
MOORPARK CITY LIBRARY,699 MOORPARK AVENUE,MOORPARK,93021,1115,(805) 517-6370,(805) 517-6370,-1,AskUs@moorparklibrary.org,http://www.moorparklibrary.org,Christine,Conwell,City Librarian,
MORENO VALLEY PUBLIC LIBRARY,25480 ALESSANDRO BLVD,MORENO VALLEY,92553,4368,(951) 413-3880,(951) 413-3897,-1,citylibrary@moval-library.org,http://www.moval.org/mv-library,Maria,Sunio,Library Director,
MOUNTAIN VIEW PUBLIC LIBRARY,585 FRANKLIN ST.,MOUNTAIN VIEW,94041,1998,(650) 903-6887,(650) 903-6887,-1,library@mountainview.gov,http://library.mountainview.gov,Tracy,Gray,Library Services Director,
MURRIETA PUBLIC LIBRARY,8 TOWN SQUARE,MURRIETA,92562,9172,(951) 304-2665,(951) 304-2665,-1,n/a,http://www.murrietalibrary.info,Melvin,Racelis,Library Manager,
NAPA COUNTY LIBRARY,580 COOMBS ST.,NAPA,94559,3396,(707) 253-4241,(707) 253-4235,(707) 253-6088,Library@countyofnapa.org,https://www.countyofnapa.org/library/,Anthony,Halstead,Library Director,
NATIONAL CITY PUBLIC LIBRARY,1401 NATIONAL CITY BLVD.,NATIONAL CITY,91950,3314,(619) 470-5800,(619) 470-5830,-1,library@nationalcitylibrary.org,http://www.nationalcityca.gov/government/library,Joyce,Ryan,Library & Community Services Director,
NEVADA COUNTY LIBRARY,980 HELLING WAY,NEVADA CITY,95959,8619,(530) 265-1407,(530) 265-7050,-1,library.reference@nevadacountyca.gov,http://mynevadacounty.com/library,Nick,Wilczek,County Librarian,
NEWPORT BEACH PUBLIC LIBRARY,1000 AVOCADO AVE.,NEWPORT BEACH,92660,7915,(949) 717-3800,(949) 717-3860,N/A,nbplref@newportbeachca.gov,http://www.newportbeachlibrary.org,Melissa ,Hartson,Library Services Director,
OAKLAND PUBLIC LIBRARY,125 14TH ST.,OAKLAND,94612,4310,(510) 238-3281,(510) 238-3138,(510) 238-3254,N/A,http://oaklandlibrary.org,Jamie,Turbak,Director,
OCEANSIDE PUBLIC LIBRARY,330 N. COAST HIGHWAY,OCEANSIDE,92054,2824,(760) 435-5560,(760) 435-5600,N/A,public.library@oceansideca.org ,http://www.oceansidepubliclibrary.org,Cathy (CJ),DiMento,Library Director,
ONTARIO CITY LIBRARY,215 EAST C STREET,ONTARIO,91764,4111,(909) 395-2216,(909) 395-2205,N/A,library@ontarioca.gov,http://www.ontarioca.gov/library,Shawn,Thrasher,Library Director,
ORANGE COUNTY PUBLIC LIBRARIES,1501 E. ST. ANDREW PLACE,SANTA ANA,92705,4930,(714) 566-3000,(714) 566-3000,N/A,library.admin@occr.ocgov.com,http://www.ocpl.org/,Julie,Quillman,County Librarian,
ORANGE PUBLIC LIBRARY,407 E CHAPMAN AVE,ORANGE,92866,1594,(714) 288-2471,(714) 288-2410,-1,-1,http://www.cityoforange.org/library,Dave,Curtis,Library Services Director,
ORLAND FREE LIBRARY,333 MILL ST.,ORLAND,95963,1788,(530) 865-1640,-1,-1,orlandfreelibrary@yahoo.com,http://www.orlandfreelibrary.net,Jody,Meza,City Librarian,
OXNARD PUBLIC LIBRARY,251 SOUTH A ST.,OXNARD,93030,5750,(805) 385-7500,(805) 385-7532,-1,library@oxnard.org,www.oxnard.org/library,VACANT,VACANT,Library Director,
PACIFIC GROVE PUBLIC LIBRARY,550 CENTRAL AVE.,PACIFIC GROVE,93950,2789,(831) 648-5760,(831) 648-5762,(831) 648-5762,referencedesk@cityofpacificgrove.org,http://www.pacificgrovelibrary.org,Diana,Godwin,Director,
PALM SPRINGS PUBLIC LIBRARY,300 S. SUNRISE WAY,PALM SPRINGS,92262,7699,(760) 322-7323,(760) 322-7323,(760) 864-9527,library.info@palmspringsca.gov,http://www.palmspringslibrary.org,Jeannie,Kays,Director of Library Services,
PALMDALE CITY LIBRARY,700 E. PALMDALE BLVD.,PALMDALE,93550,4742,(661) 267-5600,(661) 267-5600,(661) 267-5167,pcl@cityofpalmdale.org,http://www.cityofpalmdale.org/library,Robert,Shupe,Director,
PALO ALTO CITY LIBRARY,270 FOREST AVE,PALO ALTO,94301,2512,(650) 329-2516,(650) 329-2436,N/A,pa.library@cityofpaloalto.org,http://www.cityofpaloalto.org/library/,Gayathri,Kanth,Library Director,
PALO VERDE VALLEY LIBRARY DISTRICT,125 W. CHANSLORWAY,BLYTHE,92225,1245,(760) 922-5371,(760) 922-5371,N/A,info@blythelibrary.org,http://www.blythelibrary.org,Kime,Williams,Library Director,
PALOS VERDES LIBRARY DISTRICT,701 SILVER SPUR RD.,ROLLING HILLS ESTATE,90274,3603,(310) 377-9584,(310) 377-9584,-1,info@pvld.org,http://www.pvld.org,Jennifer,Addington,Director,
PASADENA PUBLIC LIBRARY,285 E. WALNUT ST.,PASADENA,91101,1598,(626) 744-4066,(626) 744-4066,(626) 735-2922,askus@cityofpasadena.net,http://cityofpasadena.net/library,Tim ,McDonald,Acting Library Director,
PASO ROBLES CITY LIBRARY,1000 SPRING ST.,PASO ROBLES,93446,2599,(805) 237-3870,(805) 237-3870,N/A,library@prcity.com,http://www.prcity.com/library,Angelica ,Fortin,Community Services Department Director,
PLACENTIA LIBRARY DISTRICT,411 E. CHAPMAN AVE.,PLACENTIA,92870,6198,(714) 528-1925,(714) 528-1906,-1,information@placentialibrary.org,https://www.placentialibrary.org,Jeanette,Contreras,Library Director,
PLACER COUNTY LIBRARY,350 NEVADA ST.,AUBURN,95603,3789,(530) 886-4501,(530) 886-4510,,library@placer.ca.gov,http://www.placer.ca.gov/library,Mary,George,Director of Library Services,
PLEASANTON PUBLIC LIBRARY,400 OLD BERNAL AVE.,PLEASANTON,94566,7012,(925) 931-3400,(925) 931-3400,,support@pleasantonlibrary.zendesk.com,http://www.cityofpleasantonca.gov/gov/depts/lib/default.asp,Heidi,Murphy,Director of Library and Recreation,
PLUMAS COUNTY LIBRARY,445 JACKSON ST.,QUINCY,95971,9410,(530) 283-6310,-1,-1,PCLibQ@psln.com,https://www.plumascounty.us/546/Library,Lindsay,Fuchs,County Librarian,
POMONA PUBLIC LIBRARY,625 S. GAREY AVE.,POMONA,91766,3322,(909) 620-2035,(909) 620-2043,,library@ci.pomona.ca.us,http://www.pomonalibrary.org,Anita,Torres,Library Manager,
